id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url
YmrTE3k7eIUCrUPi18MeMQ,Schaller's Stube Sausage Bar,"['german', 'foodtrucks']",30.26548,-97.74405,102 1/2 W 3rd St,78701,,4.5,21,https://www.yelp.com/biz/schallers-stube-sausage-bar-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
yV01eojIM0Om-LxJVnusMQ,Jewhungry?,"['foodtrucks', 'delis', 'kosher']",30.22565,-97.76274,3808 South Congress Ave,78704,$,5,6,https://www.yelp.com/biz/jewhungry-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
vLKgesyq-yEfpzeAFgPorQ,The Picnic,['foodtrucks'],30.26365337,-97.76316732,1720 Barton Springs Rd,78704,$$,4.5,80,https://www.yelp.com/biz/the-picnic-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
6A8smdPYPc1u5pP1ATZQug,Dolce Bacio Gelato,"['desserts', 'gelato', 'foodtrucks']",30.26315,-97.72591,1606 E 6th St,78702,,5,10,https://www.yelp.com/biz/dolce-bacio-gelato-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
OorxaXtp3JtnkyBQ27TXjg,Pastelaria São Paulo,"['foodtrucks', 'brazilian']",30.24441,-97.75808,603 W Live Oak St,78704,,5,20,https://www.yelp.com/biz/pastelaria-s%C3%A3o-paulo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
0m9yum2bqMCQtxbHuQbQFw,DEE DEE,"['thai', 'foodtrucks']",30.25901,-97.71445,2500 E 6th St,78702,$$,4.5,304,https://www.yelp.com/biz/dee-dee-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
WcM37VLxPGjpGVFT_HYOFQ,Basin Handcrafted,"['juicebars', 'breakfast_brunch', 'foodtrucks']",30.255323,-97.720232,2207 E Cesar Chavez St,78702,,5,9,https://www.yelp.com/biz/basin-handcrafted-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
YQzVeMnf53DK2CO_sc9DBg,Casita Boriqua,"['puertorican', 'foodtrucks']",30.25535,-97.72023,2207 E Cesar Chavez St,78702,,5,7,https://www.yelp.com/biz/casita-boriqua-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
iCpyXPsePXB_UqT4_hVqBg,The Big Kahuna,"['foodtrucks', 'hawaiian', 'poke']",30.321166,-97.739538,5000 Burnet Rd,78756,$,4.5,395,https://www.yelp.com/biz/the-big-kahuna-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
xwHhz09uHHTuxJiuRbaS6Q,Boteco,"['foodtrucks', 'brazilian', 'latin']",30.2641113,-97.7301493,1209 E 6th St,78702,$$,5,346,https://www.yelp.com/biz/boteco-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
iTTTWoP-RQ2p4olt5fFqdA,Alegria Aguas Frescas,"['juicebars', 'foodtrucks']",30.22599,-97.76942,525 W Ben White Blvd,78704,,5,2,https://www.yelp.com/biz/alegria-aguas-frescas-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
OScONrhDohwUodq_Y5Mw2g,Ducrés,"['foodtrucks', 'cajun']",30.26676554,-97.73618717,617 E 7th St,78701,,5,3,https://www.yelp.com/biz/ducr%C3%A9s-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
8FU8soDb92RmOLUmPVzQ9g,Blenders and Bowls - Guadalupe,"['acaibowls', 'foodtrucks']",30.30145,-97.73928,3500 B Guadalupe St,78705,$$,4.5,19,https://www.yelp.com/biz/blenders-and-bowls-guadalupe-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
J3xfooD9xJS2iIcCGAnCCA,Gourdough's,"['donuts', 'foodtrucks']",30.320838,-97.739424,5000 Burnet Rd,78756,$,4.5,3061,https://www.yelp.com/biz/gourdoughs-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
0lgGW93HYeVqrTTx9d3gUA,Chi'Lantro,"['korean', 'foodtrucks', 'bbq']",30.27063456,-97.74154206,823 Congress Ave,78701,$,4,707,https://www.yelp.com/biz/chilantro-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
wRMFreMjQsE3wpcxu4AlkQ,Tito Adobo,"['foodtrucks', 'filipino']",30.25535,-97.72023,2207 East Cesar Chavez,78702,$,5,39,https://www.yelp.com/biz/tito-adobo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
K9cNZfraQJ_kOfRZqIWJqQ,Taco Rob,"['tacos', 'foodtrucks']",30.26466,-97.7634,412 Sterzing St,78704,,5,2,https://www.yelp.com/biz/taco-rob-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
AMAMsOl7EboFl1eiGtXglw,Rock House Bar & Trailer Park,['foodtrucks'],30.40256651,-97.8550625,6900 Ranch Rd 620 N,78732,,4.5,12,https://www.yelp.com/biz/rock-house-bar-and-trailer-park-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
M39ntxmCL5hzfqkPN1BEcQ,Antojitos Guatemala,"['foodtrucks', 'tacos']",30.2576828,-97.72705078,1621 E Cesar Chavez St,78702,,5,5,https://www.yelp.com/biz/antojitos-guatemala-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
y4tAMaI_ARbhauoO4vbWJg,Garbo's Lobster Truck,['foodtrucks'],30.44588196,-97.68619443,14735 Bratton Ln,78728,$$,4,259,https://www.yelp.com/biz/garbos-lobster-truck-austin-5?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
hQrDB_W5QbVk3JSOfmwzJg,Pupuseria 503 Y Mas,"['salvadoran', 'foodtrucks']",30.33715,-97.71994,808 Justin Ln,78757,,5,6,https://www.yelp.com/biz/pupuseria-503-y-mas-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
